epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,46.4153,2.53067,5.37205,3.3395,0.06765,0.00487,0.19149,0.00324,0.00144,1.78079,3.75595,2.9572,0.02688,0.00195833,0.000652778,0.00195833,0.000652778,0.00195833,0.000652778,0.00195833,0.000652778
2,70.0899,1.75051,3.13931,3.04417,0.02484,0.82626,0.65773,0.74898,0.51876,1.12952,1.55769,2.75655,0.00693,0.00391915,0.00130638,0.00391915,0.00130638,0.00391915,0.00130638,0.00391915,0.00130638
3,95.7093,1.38213,1.59072,2.71531,0.01925,0.9125,0.88298,0.95201,0.74243,0.97835,0.7951,2.21368,0.00612,0.00584036,0.00194679,0.00584036,0.00194679,0.00584036,0.00194679,0.00584036,0.00194679
4,121.717,1.16033,0.95843,2.25387,0.01437,0.97818,0.95404,0.98291,0.77877,0.86361,0.6086,1.75019,0.00481,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406,0.0058218,0.0019406
5,147.469,0.99077,0.70858,1.90854,0.01052,0.99722,0.95745,0.9905,0.80894,0.80383,0.54336,1.4716,0.00473,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208,0.0057624,0.0019208
6,172.448,0.94388,0.63323,1.69489,0.00985,0.99464,0.96809,0.98921,0.79968,0.83679,0.53245,1.33963,0.00585,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901,0.005703,0.001901
7,196.546,0.91917,0.59669,1.63354,0.0121,1,0.97759,0.98555,0.81564,0.76142,0.48405,1.24989,0.00377,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
8,222.301,0.87174,0.55762,1.49925,0.01073,0.98925,0.97854,0.98627,0.84918,0.70123,0.44234,1.18179,0.00359,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614,0.0055842,0.0018614
9,247.06,0.81728,0.53315,1.45003,0.01016,0.98935,0.988,0.99409,0.84241,0.70803,0.42897,1.16881,0.00318,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
10,270.57,0.78188,0.51348,1.42888,0.00896,0.97912,0.99778,0.99448,0.85163,0.65826,0.41023,1.1225,0.00296,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218,0.0054654,0.0018218
11,296.282,0.7849,0.49775,1.39526,0.00957,0.98935,0.98791,0.99458,0.85204,0.68451,0.40738,1.08798,0.00317,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
12,322.373,0.74148,0.47605,1.37025,0.00716,0.98935,0.98829,0.99458,0.85582,0.67343,0.40024,1.08074,0.00289,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822,0.0053466,0.0017822
13,346.985,0.74643,0.48203,1.33883,0.00769,0.9998,0.97872,0.99355,0.86044,0.64775,0.40995,1.07702,0.00284,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
14,372.597,0.71172,0.46757,1.34303,0.00714,0.99968,0.97872,0.9941,0.87071,0.62534,0.40486,1.0588,0.00261,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426,0.0052278,0.0017426
15,397.671,0.73364,0.4695,1.34055,0.00698,0.9993,0.97872,0.99401,0.87522,0.6254,0.38959,1.03347,0.00296,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
16,423.621,0.68589,0.44548,1.29999,0.0066,0.99936,0.97872,0.99234,0.86827,0.64594,0.39522,1.04066,0.0029,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703,0.005109,0.001703
17,446.492,0.69673,0.44362,1.31949,0.00819,0.99846,0.97872,0.99411,0.87717,0.60888,0.37627,1.03132,0.0027,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
18,472.107,0.69374,0.44618,1.31296,0.00688,1,0.9785,0.9936,0.87391,0.60129,0.37654,1.0368,0.00268,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634,0.0049902,0.0016634
19,496.374,0.70489,0.44277,1.29934,0.0073,0.99948,0.97872,0.99356,0.8733,0.60693,0.37954,1.03518,0.00269,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
20,518.85,0.68283,0.42814,1.29623,0.00641,0.99949,0.97872,0.9939,0.8697,0.61293,0.38916,1.02184,0.00241,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238,0.0048714,0.0016238
21,543.055,0.65717,0.42365,1.26469,0.00666,1,0.98838,0.99383,0.8723,0.60777,0.3861,1.01191,0.00267,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
22,566.854,0.6619,0.42691,1.29571,0.00667,0.99912,0.97872,0.99372,0.87355,0.62649,0.37569,1.01015,0.00273,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842,0.0047526,0.0015842
23,589.68,0.67164,0.43141,1.30509,0.00747,0.99922,0.97872,0.99355,0.8774,0.59233,0.36714,1.00977,0.00257,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
24,614.874,0.64102,0.41265,1.24252,0.00684,0.98935,0.98865,0.99346,0.87586,0.62484,0.37468,1.0041,0.00268,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446,0.0046338,0.0015446
25,638.028,0.65329,0.41831,1.27189,0.00638,0.99925,0.97872,0.99333,0.88779,0.58752,0.37715,0.98654,0.00284,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
26,663.336,0.63842,0.40948,1.24475,0.00612,0.99926,0.97872,0.99362,0.86738,0.62659,0.39769,0.98995,0.00283,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505,0.004515,0.001505
27,687.184,0.64918,0.42002,1.25774,0.00542,1,0.98876,0.99383,0.885,0.59787,0.38077,0.98472,0.0026,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
28,710.6,0.62614,0.40482,1.27076,0.00568,1,0.98865,0.99383,0.89253,0.5857,0.36444,0.98339,0.00259,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654,0.0043962,0.0014654
29,735.597,0.61108,0.40008,1.21574,0.00584,0.99914,0.97872,0.99371,0.88869,0.58474,0.36953,0.99711,0.00219,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
30,759.736,0.63258,0.4064,1.26823,0.00613,0.99901,0.97872,0.99353,0.8815,0.57005,0.34775,0.97807,0.00224,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258,0.0042774,0.0014258
31,782.567,0.6111,0.3999,1.25581,0.0069,0.99908,0.97872,0.99346,0.88957,0.58102,0.34346,0.97679,0.00246,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
32,806.413,0.62056,0.40592,1.23291,0.00475,1,0.98868,0.99357,0.89815,0.55665,0.3446,0.98329,0.00202,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862,0.0041586,0.0013862
33,831.86,0.58959,0.3901,1.20438,0.00437,1,0.9892,0.99401,0.89477,0.55708,0.3368,0.98475,0.00198,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
34,853.911,0.59085,0.38734,1.2268,0.00474,1,0.98928,0.99411,0.89568,0.56977,0.3453,0.99082,0.00205,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466,0.0040398,0.0013466
35,877.409,0.60408,0.39184,1.20851,0.00618,0.99962,0.98936,0.99401,0.89482,0.57686,0.35474,0.99006,0.00222,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
36,901.402,0.59554,0.38787,1.22189,0.0059,0.99957,0.98936,0.9943,0.90456,0.56335,0.34461,1.00253,0.00199,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307,0.003921,0.001307
37,926.776,0.58088,0.38562,1.22364,0.00508,1,0.98907,0.9942,0.89704,0.56142,0.34266,1.00237,0.00203,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
38,950.077,0.58058,0.37732,1.22799,0.00543,1,0.98867,0.9942,0.8989,0.55845,0.33527,0.99884,0.00201,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674,0.0038022,0.0012674
39,973.816,0.57256,0.37161,1.20789,0.0047,1,0.98915,0.9943,0.90063,0.56942,0.34073,1.00145,0.00202,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
40,998.337,0.58368,0.37969,1.23655,0.00492,1,0.98936,0.9944,0.88087,0.56067,0.3436,0.99177,0.00192,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278,0.0036834,0.0012278
41,1021.43,0.57323,0.37532,1.22769,0.00494,0.99959,0.98936,0.99392,0.89603,0.56176,0.34754,0.98246,0.0021,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
42,1045.17,0.56596,0.37279,1.17761,0.0054,0.99939,0.98936,0.99411,0.89538,0.56586,0.3404,0.98366,0.00195,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882,0.0035646,0.0011882
43,1069.78,0.56343,0.37395,1.21911,0.0055,0.99949,0.98936,0.99411,0.89971,0.56236,0.33955,0.982,0.00188,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
44,1092.79,0.5614,0.37249,1.21731,0.00511,0.9996,0.98936,0.99392,0.89384,0.56178,0.33651,0.98556,0.00194,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486,0.0034458,0.0011486
45,1116.79,0.56373,0.36904,1.19377,0.00426,1,0.98926,0.99392,0.88971,0.54973,0.33902,0.9672,0.0018,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288,0.0033864,0.0011288
46,1141.48,0.56685,0.37509,1.21893,0.0049,0.99983,0.98936,0.99383,0.89526,0.54863,0.33689,0.97795,0.00178,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109,0.003327,0.001109
47,1164.15,0.57284,0.37361,1.21687,0.00522,0.99953,0.98936,0.99383,0.89943,0.5541,0.33565,0.97888,0.00179,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892,0.0032676,0.0010892
48,1188.45,0.55921,0.36226,1.20431,0.00446,0.99943,0.98936,0.99392,0.89831,0.55439,0.3312,0.97557,0.00188,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694,0.0032082,0.0010694
49,1212.36,0.56635,0.37252,1.22472,0.00524,1,0.98936,0.9944,0.90092,0.56529,0.33437,0.99434,0.00189,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496,0.0031488,0.0010496
50,1234.95,0.55584,0.36443,1.22609,0.005,0.99932,0.98936,0.9942,0.89797,0.57222,0.33827,0.99483,0.00232,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298,0.0030894,0.0010298
51,1259.03,0.55396,0.35838,1.21012,0.00382,0.99945,0.98936,0.9943,0.90179,0.55271,0.33021,0.99391,0.00195,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,1283.05,0.54578,0.35899,1.21202,0.00411,0.99951,0.98936,0.99401,0.88867,0.57409,0.33949,0.99576,0.00222,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,1305.58,0.56048,0.3589,1.19999,0.00563,0.99928,0.98936,0.99411,0.90455,0.55734,0.33429,0.9912,0.002,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,1329.33,0.55143,0.35744,1.24524,0.00505,0.99948,0.98936,0.9943,0.90923,0.54861,0.32477,0.99127,0.00187,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,1354.56,0.5364,0.35296,1.20654,0.00517,1,0.98936,0.9944,0.90108,0.56202,0.33933,0.98197,0.0019,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,1377.78,0.5423,0.3569,1.19263,0.00406,1,0.98936,0.9944,0.89528,0.55775,0.34398,0.9781,0.00193,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,1401.59,0.54102,0.35204,1.21906,0.00481,1,0.98917,0.99401,0.88788,0.5607,0.34719,0.98762,0.00192,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,1425.45,0.53742,0.35499,1.1874,0.00469,0.99939,0.98936,0.9942,0.90078,0.56748,0.34042,0.98998,0.00215,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,1447.99,0.54979,0.36277,1.24195,0.00513,0.99947,0.98936,0.99411,0.90197,0.54565,0.34104,0.9843,0.00195,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,1472.06,0.53969,0.35468,1.20474,0.00383,0.99921,0.98936,0.9942,0.90015,0.55228,0.33984,0.97879,0.00193,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,1496.05,0.529,0.34763,1.21154,0.00425,0.99921,0.98936,0.9942,0.88675,0.56731,0.34223,0.98061,0.00202,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,1519.01,0.53463,0.35099,1.22433,0.00521,0.99931,0.98936,0.99411,0.89696,0.55963,0.34174,0.98848,0.00187,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,1542.28,0.52395,0.34592,1.21278,0.00396,0.99936,0.98936,0.9942,0.89793,0.55866,0.34377,0.99172,0.00193,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,1566.04,0.52685,0.34572,1.21315,0.00522,1,0.98936,0.9944,0.9026,0.56399,0.32863,0.98987,0.002,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,1588.46,0.51713,0.34066,1.20641,0.00413,1,0.98936,0.9944,0.89845,0.55946,0.31594,0.99679,0.00204,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,1612.33,0.5299,0.35078,1.19973,0.00464,1,0.98936,0.9944,0.89658,0.5535,0.32787,0.99594,0.00198,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
67,1636.05,0.52069,0.34579,1.23108,0.004,0.99956,0.98936,0.9943,0.90148,0.55328,0.33024,0.99008,0.00196,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932,0.0020796,0.0006932
68,1658.72,0.52024,0.34264,1.20498,0.00481,1,0.98936,0.9944,0.89515,0.56106,0.32965,0.98906,0.00192,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734,0.0020202,0.0006734
69,1682.24,0.50703,0.33694,1.1884,0.00359,0.99922,0.98936,0.9942,0.89425,0.55497,0.32296,0.97521,0.00189,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536,0.0019608,0.0006536
70,1705.82,0.5009,0.3343,1.18222,0.00554,1,0.98936,0.9944,0.8982,0.55192,0.33218,0.97657,0.00192,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338,0.0019014,0.0006338
71,1728.53,0.50444,0.33422,1.20538,0.00399,0.99943,0.98936,0.9943,0.89673,0.55025,0.31676,0.98663,0.00187,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614,0.001842,0.000614
72,1751.6,0.51751,0.33853,1.19159,0.00405,0.9999,0.98936,0.9943,0.89747,0.55585,0.3155,0.98995,0.00201,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942,0.0017826,0.0005942
73,1775.49,0.50151,0.33334,1.15778,0.00379,1,0.98936,0.9944,0.89853,0.5553,0.31174,0.98348,0.00197,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744,0.0017232,0.0005744
74,1798.05,0.51874,0.34184,1.21264,0.00533,1,0.98936,0.9944,0.89795,0.54785,0.32056,0.98639,0.00186,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546,0.0016638,0.0005546
75,1821.94,0.48808,0.33129,1.20708,0.00446,1,0.98904,0.9943,0.90124,0.54997,0.32614,0.99319,0.00203,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348,0.0016044,0.0005348
76,1845.63,0.51159,0.33626,1.18015,0.00447,1,0.9891,0.9943,0.89118,0.55432,0.32578,0.98878,0.00201,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515,0.001545,0.000515
77,1868.45,0.49313,0.33032,1.24105,0.00432,1,0.98918,0.99411,0.89574,0.55912,0.32289,0.97658,0.00214,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952,0.0014856,0.0004952
78,1892.4,0.50236,0.33425,1.20895,0.00472,0.99987,0.98936,0.9942,0.89816,0.55373,0.33238,0.98128,0.00194,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754,0.0014262,0.0004754
79,1916.39,0.50728,0.33568,1.21628,0.00481,1,0.98936,0.9944,0.90098,0.54625,0.33483,0.98703,0.00186,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556,0.0013668,0.0004556
80,1938.83,0.51383,0.33683,1.21062,0.00453,0.99983,0.98936,0.9943,0.90207,0.54631,0.33518,0.98766,0.00189,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358,0.0013074,0.0004358
81,1962.2,0.50376,0.33321,1.19165,0.0046,1,0.98936,0.9944,0.90304,0.55284,0.33516,0.98682,0.0019,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416,0.001248,0.000416
82,1986.65,0.50148,0.32802,1.20932,0.00402,1,0.98936,0.9944,0.90014,0.54811,0.32968,0.98865,0.00203,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962,0.0011886,0.0003962
83,2009.44,0.50461,0.33464,1.22946,0.004,0.99973,0.98936,0.9942,0.89907,0.56056,0.32967,0.98382,0.00207,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764,0.0011292,0.0003764
84,2033.1,0.48703,0.33104,1.18703,0.00409,0.99942,0.98936,0.9942,0.89856,0.55764,0.32551,0.98318,0.00197,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566,0.0010698,0.0003566
85,2057.85,0.47886,0.32284,1.18376,0.00416,0.9996,0.98936,0.9942,0.89941,0.55046,0.3187,0.98144,0.00195,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368,0.0010104,0.0003368
86,2080.86,0.50299,0.33163,1.23515,0.00414,0.99973,0.98936,0.9943,0.89569,0.54728,0.31736,0.98416,0.00192,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317,0.000951,0.000317
87,2105.08,0.4928,0.32466,1.18908,0.00575,0.99972,0.98936,0.9943,0.90457,0.54977,0.31819,0.9814,0.00192,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972,0.0008916,0.0002972
88,2129.28,0.49332,0.32467,1.19621,0.00373,1,0.98936,0.9944,0.90645,0.54299,0.31671,0.98122,0.00198,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774,0.0008322,0.0002774
89,2152.47,0.49776,0.32343,1.20127,0.00569,1,0.98936,0.9944,0.90384,0.54309,0.31869,0.9833,0.00196,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576,0.0007728,0.0002576
90,2176.27,0.49434,0.32937,1.20579,0.00517,1,0.98936,0.9944,0.89676,0.55779,0.32042,0.98225,0.00194,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378,0.0007134,0.0002378
91,2202.59,0.47095,0.3127,1.20344,0.00173,1,0.98936,0.9944,0.89593,0.56319,0.31559,0.9911,0.00202,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218,0.000654,0.000218
92,2226.46,0.4685,0.31756,1.22195,0.00176,1,0.98936,0.9944,0.90396,0.56058,0.31961,0.99516,0.00201,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982,0.0005946,0.0001982
93,2248.89,0.44402,0.29995,1.2005,0.0016,1,0.98936,0.9944,0.90234,0.56065,0.32293,0.9917,0.00205,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784,0.0005352,0.0001784
94,2271.98,0.44826,0.30802,1.2257,0.00164,1,0.98936,0.9944,0.90248,0.56004,0.32677,0.9905,0.00202,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586,0.0004758,0.0001586
95,2293.91,0.4366,0.29147,1.19147,0.00161,1,0.98936,0.9944,0.90327,0.55297,0.32405,0.98926,0.00199,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388,0.0004164,0.0001388
96,2317.09,0.44273,0.30299,1.18359,0.00171,1,0.98936,0.9944,0.90237,0.55598,0.32311,0.98955,0.00198,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119,0.000357,0.000119
97,2340.43,0.43983,0.3,1.19544,0.00154,1,0.98936,0.9944,0.90475,0.55618,0.32672,0.9913,0.00198,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05,0.0002976,9.92e-05
98,2362.39,0.44095,0.29856,1.20233,0.00164,1,0.98936,0.9944,0.90447,0.55371,0.32541,0.99155,0.00197,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05,0.0002382,7.94e-05
99,2385.79,0.43435,0.29613,1.21652,0.00163,1,0.98936,0.9944,0.90195,0.55418,0.32676,0.99032,0.00196,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05,0.0001788,5.96e-05
100,2407.8,0.43161,0.2969,1.23803,0.00151,1,0.98936,0.9944,0.90804,0.55438,0.32454,0.98954,0.00196,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05,0.0001194,3.98e-05
